indicator,survey_id,survey_mid_calendar_quarter,area_id,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y035_049,360,713,480.929505937741,0.163580289162244,0.015433032813803,0.135532307131331,0.196115898282279
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y040_044,189,245,158.725753103697,0.178909176330859,0.029299541228726,0.128456782127374,0.243637745519035
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y045_049,149,191,125.799393373576,0.133207138792856,0.025726659989757,0.090330991984087,0.192136170848993
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y015_019,51,192,161.449119481497,0.036297551790535,0.014896563038722,0.016084237988095,0.079851671519862
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y015_024,59,381,320.752113913649,0.055213573490133,0.01370992292854,0.033736234632431,0.089103084545846
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y015_049,59,818,682.900035896834,0.08084591142379,0.014214334262414,0.057010493676887,0.11344774622499
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y020_024,58,189,159.351831248251,0.074857477509868,0.025645259489122,0.037682362693626,0.14324799182719
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y025_029,50,140,113.603104666287,0.079123325824801,0.026597027363475,0.040319637431239,0.149455866367854
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y025_034,57,233,189.469473833533,0.081633476409019,0.02150543874923,0.048218872147513,0.134921202603721
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y030_034,44,93,75.8876611811213,0.085310893596561,0.025149710680001,0.047246810150779,0.149237576253538
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y035_039,41,71,60.1180545709684,0.206634511297839,0.067797689607955,0.10378159357395,0.369405205348994
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y035_049,53,204,172.774069053996,0.128850680959388,0.032644851143273,0.077188787307055,0.207321354180814
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y040_044,42,82,69.1589983694438,0.085094698947737,0.039423655757438,0.033325264595833,0.20059730512178
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,Y045_049,32,51,43.9264564037084,0.083124179952969,0.032587290566638,0.037736364496835,0.173272653990383
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y015_019,38,81,68.2820721750844,0,0,NA,NA
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y015_024,50,156,128.897837902751,0.007033079930426,0.007035829239617,0.000982241696061,0.04854714143483
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y015_049,59,370,303.44103749574,0.053952851177479,0.012031596903212,0.034683759140693,0.083006648035144
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y020_024,43,75,60.6356552765329,0.014758515783487,0.014571450957519,0.002096943761366,0.096480408217332
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y025_029,40,73,58.2917110608809,0.073347194960314,0.031287456085218,0.031110481837564,0.163263519340264
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y025_034,48,124,99.2096581975619,0.081786428171093,0.025937133476256,0.043303579887316,0.149136898439461
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y030_034,31,51,40.9274397437002,0.094047826899753,0.037497862872552,0.041976377193629,0.19740374267836
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y035_039,25,32,26.4358940105663,0.238806076567885,0.085119172326432,0.111351657752193,0.439925518842771
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y035_049,46,90,75.5689739286461,0.099945862676916,0.037506684937095,0.046752057978935,0.200906917853255
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y040_044,26,33,28.0909772534969,0,0,NA,NA
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y045_049,21,25,21.4917052523693,0.030273279300334,0.03044074664068,0.00407386705212,0.192411352249834
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,Y050_054,19,24,22.2096223351205,0.118099122740266,0.079406479955126,0.029174416246368,0.373728102467155
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y015_019,41,111,93.2399920016758,0.064044152648162,0.024851057389993,0.02946739547498,0.133607624939742
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y015_024,56,225,192.414233120999,0.090338422439713,0.021411814146529,0.056242837792053,0.141993626484589
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y015_049,59,448,380.569046881178,0.104093808171585,0.01872476080918,0.07269078913529,0.146913867066247
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y020_024,49,114,99.3494496604483,0.116550673209363,0.042011539793468,0.055977762666529,0.226913793885232
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y025_029,39,67,56.0898021031472,0.086211801398811,0.033905045888651,0.039003438564568,0.179864990232722
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y025_034,50,109,91.0036499802608,0.081444353848498,0.023660533004524,0.045531059345163,0.141485714966147
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y030_034,30,42,35.0474773697358,0.074387749394656,0.035993302799363,0.02803874661368,0.182933213729638
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y035_039,27,39,33.9032623687272,0.178309214093293,0.076194148672354,0.072620818684146,0.375526696142893
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y035_049,48,114,97.2291338161943,0.151856058066509,0.039558622696467,0.089308713480266,0.24635837928207
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y040_044,33,49,41.2423769087299,0.137362234099269,0.061553080803939,0.054397676616284,0.305923713788838
prevalence,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,Y045_049,19,26,22.5387979206902,0.13867137775782,0.060282476772988,0.056488700904288,0.302131019250752
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y015_019,139,325,162.331795336914,0.006782996308878,0.004187294957332,0.002015797139449,0.022569279581045
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y015_024,169,708,328.067593809241,0.027134203056372,0.006338670520511,0.017122729247123,0.042744707518876
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y015_049,183,1802,860.623027835674,0.064825200880131,0.00857046241868,0.049919940026768,0.083788433491186
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y020_024,143,383,168.730434700616,0.043292285593124,0.010542760153286,0.026741775697311,0.069355979503124
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y025_029,146,355,166.005202014575,0.041102410795449,0.011409833771898,0.023727301253089,0.070285019016356
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y025_034,168,617,296.250515184281,0.08108320904055,0.015129010913107,0.055951581566589,0.116114721514397
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y030_034,129,262,130.255196617121,0.13144807900344,0.029076099591065,0.084140955919168,0.199557573137425
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y035_039,115,186,87.9585919888583,0.103370317332333,0.027159943641945,0.060958654653214,0.169949318142185
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y035_049,158,477,236.918305233414,0.095379663192794,0.016830118760622,0.06710978026289,0.133849554893573
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y040_044,104,178,94.0037230020702,0.118742071841022,0.028240398671458,0.073553547302322,0.186115536618793
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,Y045_049,80,113,56.0157517335737,0.048846093694982,0.017394280210197,0.024061299100872,0.096633062789953
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y015_019,88,146,73.8870408086719,0,0,NA,NA
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y015_024,125,298,140.14386899904,0.011934792069687,0.007000020099347,0.003759365306461,0.037224861423313
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y015_049,180,826,385.475980689121,0.063772353627925,0.012930514487962,0.042655306936395,0.09431374850205
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y020_024,94,152,67.1675060967089,0.023109695130456,0.013575700111866,0.007226608086704,0.071391287386082
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y025_029,120,180,83.0791401628701,0.025903837035508,0.009853038843365,0.01221916414533,0.054075448253911
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y025_034,142,298,141.53039442765,0.093334610350152,0.023757094712194,0.056050381498249,0.15144105324629
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y030_034,83,118,58.621190805067,0.195911916760775,0.053549959713681,0.111223692381805,0.32174038397301
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y035_039,76,92,41.1477558820419,0.098096120636989,0.036932939561812,0.045793320641473,0.197756102194992
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y035_049,133,230,105.827237688488,0.083173552731618,0.021052305538733,0.050159503433845,0.134832312783509
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y040_044,65,82,41.056488449203,0.07759956745053,0.033961733171371,0.032128165572239,0.175741711171675
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y045_049,47,56,25.2789732963183,0.064562243574724,0.02799594708851,0.027068664459925,0.146186083052186
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,Y050_054,42,53,30.2810339000951,0.036020657296928,0.026849840425012,0.00814213106977,0.145364996550174
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y015_019,113,179,88.5967348503888,0.01279740651159,0.007892250482282,0.003795919919627,0.042239572979397
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y015_024,158,410,187.935580964279,0.038606890401545,0.009941708021905,0.023204451391808,0.063567684768449
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y015_049,178,976,482.771631867038,0.065839742775042,0.009149924759027,0.05002070066276,0.086207570172563
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y020_024,123,231,101.563063011655,0.056664152636311,0.015467833869839,0.032944326518714,0.095770875094456
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y025_029,106,175,87.5156725826587,0.06125809535554,0.020154266042299,0.031787965269462,0.114809788976843
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y025_034,146,319,158.271365427479,0.067447478413518,0.016129595510264,0.04191920952558,0.106789313064061
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y030_034,102,144,71.9129579729199,0.073796948291626,0.022711548179478,0.039885877767373,0.132558687735231
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y035_039,70,94,55.6674894609035,0.110710137694067,0.033770875200121,0.059759781879936,0.196042782334522
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y035_049,125,247,140.094320834771,0.10897100621644,0.023247543781827,0.07105702289921,0.163553066561664
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y040_044,71,96,53.3979447756749,0.155079941934732,0.04557840257775,0.08493815700149,0.26628874592706
prevalence,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,Y045_049,47,57,32.4734196691682,0.031471071781607,0.017985545395104,0.010118550778533,0.093620863709785
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y015_019,202,483,381.632711107173,0.025477899235054,0.007468499805364,0.014291534022593,0.045020224773605
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y015_024,249,1027,795.356697693214,0.088064287959292,0.010066918556203,0.070228247765776,0.109894781857743
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y015_049,270,2516,1948.53597817375,0.175823142595817,0.010163982144096,0.156780716708215,0.196639079036128
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y020_024,218,544,413.975988386981,0.143739742824924,0.016815553848664,0.113815232077034,0.17993454957547
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y025_029,206,490,382.180224244669,0.213058784733685,0.021797987512113,0.173445973144743,0.258885021199472
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y025_034,251,878,687.375759375699,0.238224845219842,0.019445500091077,0.202223824205687,0.278398397677546
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y030_034,199,388,305.270248985253,0.269077781023404,0.027132133749914,0.2193100085148,0.32543148806367
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y035_039,153,243,187.424738551604,0.234666551917877,0.033001834341359,0.176201641753343,0.305340272575599
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y035_049,221,611,466.155820624296,0.231420998695868,0.019934893329114,0.19466553584309,0.272765841489467
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y040_044,142,213,162.546605875771,0.255179346802425,0.035764930019463,0.191546657064211,0.331288722933656
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,Y045_049,114,155,116.471959863526,0.191168731611861,0.036144776457229,0.130041074220312,0.272044926120188
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y015_019,141,228,183.305118449355,0.008197122066451,0.005957468278979,0.001961723565224,0.033584983138909
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y015_024,201,426,331.454010604771,0.032353993450899,0.009850980766895,0.017725927850913,0.058336732775888
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y015_049,260,1076,836.281198909585,0.151000687186776,0.013941077415421,0.125657672337937,0.180400367459779
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y020_024,139,198,148.644862062615,0.059921736082547,0.01969227546024,0.031126048276293,0.112270279940079
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y025_029,134,205,160.114985412776,0.185091582163941,0.033643191472523,0.127929108657578,0.260175701918338
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y025_034,194,391,308.587775153008,0.209758484248008,0.026523491801238,0.162465241174429,0.266439093454
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y030_034,129,186,148.499110263351,0.235867939234651,0.038277985142553,0.169141493442809,0.318817110779094
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y035_039,82,99,75.4679129313317,0.267973823546666,0.054904754572807,0.174580495019535,0.387852508270725
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y035_049,159,259,197.041304183404,0.249885697772029,0.031375963944513,0.193519817890734,0.316231560985938
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y040_044,90,113,86.5950232983013,0.270951371318589,0.05002190309081,0.184504875036806,0.379073502929929
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y045_049,40,47,35.0870616936886,0.164047892378328,0.05920105455772,0.077663818294393,0.313823203414217
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,Y050_054,51,55,45.2305026094719,0.169476043769435,0.058720559480752,0.082639353357945,0.316116730346598
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y015_019,156,255,200.176972725418,0.04366484566181,0.013875897199389,0.023251849571666,0.080521232840996
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y015_024,222,601,468.830067747342,0.13418998659743,0.014369960522527,0.108435262919392,0.164930183812132
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y015_049,265,1440,1130.3751131891,0.198093600684923,0.011656483886985,0.176234125512077,0.221933968163181
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y020_024,188,346,268.763216825376,0.19955195857127,0.024206164102633,0.156287247827306,0.251227272888567
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y025_029,171,285,224.945011159999,0.23674888947169,0.027872957411465,0.186500222889037,0.295616307156521
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y025_034,219,487,384.701271453248,0.265706740096404,0.022458869877037,0.224065769543545,0.311974941164563
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y030_034,133,202,159.759044109259,0.306703464564512,0.035941237388961,0.241062592676111,0.381239570851128
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y035_039,113,144,113.751579921762,0.207770433549572,0.035324957342517,0.146910326986506,0.285407890112618
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y035_049,187,352,276.973988127032,0.214398554244261,0.021890579481617,0.174603876913085,0.260401606002656
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y040_044,85,100,78.9876697711433,0.23236693465115,0.047341488009483,0.152492523172821,0.337421956292108
prevalence,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,Y045_049,83,108,85.1159677627203,0.207321405793711,0.042754629764864,0.135749265839672,0.303382573589053
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y015_019,51,192,161.449119481497,0.036297551790535,0.014896563038722,0.016084237988095,0.079851671519862
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y015_024,59,381,320.752113913649,0.055213573490133,0.013709953183219,0.033736197576885,0.089103176807941
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y015_049,59,818,682.900035896834,0.08084591142379,0.014214361480399,0.057010455082939,0.11344781842845
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y020_024,58,189,159.351831248251,0.074857477509868,0.02564533287735,0.037682287377701,0.14324824673002
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y025_029,50,140,113.603104666287,0.079123325824801,0.026597110065546,0.040319551351438,0.149456149160837
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y025_034,57,233,189.469473833533,0.081633476409019,0.02150548640687,0.048218814966719,0.134921348026473
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y030_034,44,93,75.8876611811213,0.085310893596561,0.025149710680001,0.047246810150779,0.149237576253538
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y035_039,41,71,60.1180545709684,0.206634511297839,0.067797689607955,0.10378159357395,0.369405205348994
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y035_049,53,204,172.774069053996,0.128850680959388,0.032644851143273,0.077188787307055,0.207321354180814
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y040_044,42,82,69.1589983694438,0.085094698947737,0.039423655757438,0.033325264595833,0.20059730512178
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,Y045_049,32,51,43.9264564037084,0.083124179952969,0.032587290566638,0.037736364496835,0.173272653990383
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y015_019,38,81,68.2820721750844,0,0,NA,NA
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y015_024,50,156,128.897837902751,0.007033079930426,0.007035829239617,0.000982241696061,0.04854714143483
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y015_049,59,370,303.44103749574,0.053952851177479,0.012031621160146,0.034683727955215,0.08300671893348
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y020_024,43,75,60.6356552765329,0.014758515783487,0.014571450957519,0.002096943761366,0.096480408217332
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y025_029,40,73,58.2917110608809,0.073347194960314,0.031287638310576,0.031110323444459,0.163264237192362
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y025_034,48,124,99.2096581975619,0.081786428171093,0.025937221885292,0.043303484296254,0.149137191235329
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y030_034,31,51,40.9274397437002,0.094047826899753,0.037497862872552,0.041976377193629,0.19740374267836
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y035_039,25,32,26.4358940105663,0.238806076567885,0.085119172326432,0.111351657752193,0.439925518842771
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y035_049,46,90,75.5689739286461,0.099945862676916,0.037506684937095,0.046752057978935,0.200906917853255
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y040_044,26,33,28.0909772534969,0,0,NA,NA
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y045_049,21,25,21.4917052523693,0.030273279300334,0.03044074664068,0.00407386705212,0.192411352249834
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,Y050_054,19,24,22.2096223351205,0.118099122740266,0.079406479955126,0.029174416246368,0.373728102467155
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y015_019,41,111,93.2399920016758,0.064044152648162,0.024851057389993,0.02946739547498,0.133607624939742
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y015_024,56,225,192.414233120999,0.090338422439713,0.021411870724409,0.056242766166228,0.141993790884656
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y015_049,59,448,380.569046881178,0.104093808171585,0.018724798109463,0.072690736293613,0.146913965315346
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y020_024,49,114,99.3494496604483,0.116550673209363,0.042011702780193,0.055977598720441,0.226914338128523
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y025_029,39,67,56.0898021031472,0.086211801398811,0.033905045888651,0.039003438564568,0.179864990232722
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y025_034,50,109,91.0036499802608,0.081444353848498,0.023660533004524,0.045531059345163,0.141485714966147
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y030_034,30,42,35.0474773697358,0.074387749394656,0.035993302799363,0.02803874661368,0.182933213729638
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y035_039,27,39,33.9032623687272,0.178309214093293,0.076194148672354,0.072620818684146,0.375526696142893
prevalence,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,Y035_049,48,114,97.2291338161943,0.151856058066509,0.039558622696467,0.089308713480266,0.24635837928207
